Country name,New URL,Clean URL
Afghanistan,http://8am.af/,8am.af
Afghanistan,http://afghan-review.com/,afghan-review.com
Afghanistan,http://afghan-sports.com/,afghan-sports.com
Afghanistan,http://www.afghanistantimes.af/,afghanistantimes.af
Afghanistan,http://www.benawa.com/,benawa.com
Afghanistan,http://www.dailyafghanistan.com/,dailyafghanistan.com
Afghanistan,http://www.outlookafghanistan.net/,outlookafghanistan.net
Afghanistan,https://www.kabulpress.org/,kabulpress.org
Afghanistan,http://www.khaama.com/,khaama.com
Afghanistan,http://larawbar.net/,larawbar.net
Afghanistan,http://www.pajhwok.com/,pajhwok.com
Afghanistan,http://www.sabawoon.com/,sabawoon.com
Afghanistan,http://www.taand.com/,taand.com
Afghanistan,http://www.tolafghan.com/,tolafghan.com
Afghanistan,http://wadsam.com/,wadsam.com
Albania,http://24-ore.com/,24-ore.com
Albania,http://albne.ws/,albne.ws
Albania,http://www.albaniannews.com/,albaniannews.com
Albania,http://www.albania-sport.com/,albania-sport.com
Albania,http://www.albeu.com/,albeu.com
Albania,http://www.gazetatema.net/,gazetatema.net
Albania,http://www.kohajone.com/,kohajone.com
Albania,http://gazeta-shqip.com/lajme/,gazeta-shqip.com
Albania,http://www.tanmarket.com/php/,tanmarket.com
Algeria,http://www.aps.dz/,aps.dz
Algeria,http://www.ech-chaab.com/,ech-chaab.com
Algeria,http://www.elkhabar.com/,elkhabar.com
Algeria,http://www.elmoudjahid.com/,elmoudjahid.com
Algeria,http://www.elwatan.com/,elwatan.com
Algeria,http://www.akhbarelyoum.dz/ar/index.php,akhbarelyoum.dz
Algeria,http://www.horizons-dz.com/,horizons-dz.com
Algeria,http://www.quotidien-oran.com/,quotidien-oran.com
Algeria,http://www.lesoirdalgerie.com/articles/2017/11/27/,lesoirdalgerie.com
Algeria,https://www.liberte-algerie.com/,liberte-algerie.com
Algeria,http://north-africa.com/,north-africa.com
Andorra,https://www.bondia.ad/,bondia.ad
Andorra,https://www.diariandorra.ad/,diariandorra.ad
Antigua and Barbuda,https://antiguaobserver.com/,antiguaobserver.com
Antigua and Barbuda,http://www.antiguasunonline.com/,antiguasunonline.com
Argentina,http://www.ambito.com/,ambito.com
Argentina,http://www.buenosairesherald.com/printed-edition/,buenosairesherald.com
Argentina,https://www.clarin.com/,clarin.com
Argentina,https://www.cronica.com.ar/,cronica.com.ar
